year,n_files,status
2000,0,missing_or_not_identified
2001,0,missing_or_not_identified
2002,0,missing_or_not_identified
2003,0,missing_or_not_identified
2004,0,missing_or_not_identified
2005,0,missing_or_not_identified
2006,0,missing_or_not_identified
2007,0,missing_or_not_identified
2008,0,missing_or_not_identified
2009,0,missing_or_not_identified
2010,0,missing_or_not_identified
2011,0,missing_or_not_identified
2012,0,missing_or_not_identified
2013,0,missing_or_not_identified
2014,0,missing_or_not_identified
2015,0,missing_or_not_identified
2016,0,missing_or_not_identified
2017,0,missing_or_not_identified
2018,0,missing_or_not_identified
2019,0,missing_or_not_identified
2020,0,missing_or_not_identified
2021,0,missing_or_not_identified
2022,0,missing_or_not_identified
2023,0,missing_or_not_identified
2024,0,missing_or_not_identified
