concept,provided_code
fair_income_distribution,P16ST
fair_income_distribution,P17ST
fair_income_distribution,P14ST
fair_income_distribution,P12ST
fair_income_distribution,P12ST
fair_income_distribution,P27ST
fair_income_distribution,P18ST
fair_income_distribution,P21ST
fair_income_distribution,P20ST
fair_income_distribution,P23ST
fair_income_distribution,P19ST.A
fair_income_distribution,P17ST
fair_income_distribution,P17ST
inequality_acceptable,P72NPN
inequality_acceptable,P61ST
justice_wealth_distribution,P18NE
justice_wealth_distribution,P26ST.E
justice_wealth_distribution,P15ST.E
justice_wealth_distribution,P41ST.E
justice_wealth_distribution,P50ST.E
justice_wealth_distribution,P47ST.E
justice_wealth_distribution,P41ST.E
