year,source_file,standardized_name,original_var_name,original_var_label,matched_from_dictionary,response_scale_note,needs_manual_review
2000,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2000,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2000,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2001,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2001,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2001,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2002,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2002,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2002,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2003,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2003,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2003,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2004,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2004,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2004,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2005,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2005,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2005,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2006,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2006,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2006,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2007,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2007,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2007,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2008,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2008,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2008,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2009,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2009,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2009,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2010,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2010,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2010,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2011,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2011,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2011,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2012,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2012,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2012,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2013,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2013,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2013,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2014,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2014,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2014,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2015,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2015,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2015,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2016,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2016,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2016,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2017,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2017,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2017,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2018,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2018,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2018,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2019,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2019,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2019,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2020,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2020,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2020,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2021,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2021,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2021,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2022,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2022,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2022,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2023,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2023,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2023,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
2024,,fair_income_distribution,,,False,No candidate selected for this year/concept.,True
2024,,inequality_acceptable,,,False,No candidate selected for this year/concept.,True
2024,,justice_wealth_distribution,,,False,No candidate selected for this year/concept.,True
