year,var_income_fairness,var_inequality_acceptability,source_type,notes
2000,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2001,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2002,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2003,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2004,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2005,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2006,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2007,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2008,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2009,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2010,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2011,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2012,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2013,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2014,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2015,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2016,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2017,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2018,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2019,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2020,Q19ST.A,,initial_template,Exemplo informado pelo usuário para justiça distributiva em 2020; confirmar no questionário oficial.
2021,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2022,,,initial_template,Preencher com dicionário integrado 1981-2024 e validação por questionário oficial da onda.
2023,P17ST,P61ST,initial_template,Códigos informados pelo usuário para 2023/2024; validar codificação e universo.
2024,P17ST,P61ST,initial_template,Códigos informados pelo usuário para 2023/2024; validar codificação e universo.
